Review,Liked,Cleaned_Review,Sentiment_Score,Predicted_Sentiment
"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1,side greek salad greek dressing tasty pita hummus refreshing,0.16666666666666666,Positive
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1,ordered duck rare pink tender inside nice char outside,0.19999999999999998,Positive
He came running after us when he realized my husband had left his sunglasses on the table.,1,came running us realized husband left sunglasses table,0.0,Neutral
Their chow mein is so good!,1,chow mein good,0.7,Positive
"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",0,horrible attitudes towards customers talk one customers don enjoy food,-0.3,Negative
The portion was huge!,1,portion huge,0.39999999999999997,Positive
"Loved it...friendly servers, great food, wonderful and imaginative menu.",1,loved friendly servers great food wonderful imaginative menu,0.6950000000000001,Positive
The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,0,heart attack grill downtown vegas absolutely flat lined excuse restaurant,-0.037500000000000006,Neutral
Not much seafood and like 5 strings of pasta at the bottom.,0,not much seafood like strings pasta bottom,-0.1,Negative
"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1,salad right amount sauce not power scallop perfectly cooked,0.6428571428571428,Positive
"The ripped banana was not only ripped, but petrified and tasteless.",0,ripped banana not ripped petrified tasteless,-0.6,Negative
At least think to refill my water before I struggle to wave you over for 10 minutes.,0,least think refill water struggle wave minutes,-0.3,Negative
This place receives stars for their APPETIZERS!!!,1,place receives stars appetizers,0.0,Neutral
The cocktails are all handmade and delicious.,1,cocktails handmade delicious,1.0,Positive
We'd definitely go back here again.,1,definitely go back,0.0,Neutral
We are so glad we found this place.,1,glad found place,0.5,Positive
"Great food and service, huge portions and they give a military discount.",1,great food service huge portions give military discount,0.36666666666666664,Positive
Always a great time at Dos Gringos!,1,always great time dos gringos,0.8,Positive
Update.....went back for a second time and it was still just as amazing,1,update went back second time still amazing,0.20000000000000004,Positive
We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,0,got food apparently never heard salt batter fish chewy,-0.025,Neutral
A great way to finish a great.,1,great way finish great,0.8,Positive
"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",1,deal included tastings drinks jeff went beyond expected,-0.1,Negative
"- Really, really good rice, all the time.",1,really really good rice time,0.7,Positive
The service was meh.,0,service meh,0.0,Neutral
"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0,took min get milkshake nothing chocolate milk,0.0,Neutral
"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",0,guess known place would suck inside excalibur didn use common sense,-0.3,Negative
The scallop dish is quite appalling for value as well.,0,scallop dish quite appalling value well,-0.35,Negative
2 times - Very Bad Customer Service !,0,times bad customer service,-0.6999999999999998,Negative
The sweet potato fries were very good and seasoned well.,1,sweet potato fries good seasoned well,0.4333333333333333,Positive
Today is the second time I've been to their lunch buffet and it was pretty good.,1,today second time lunch buffet pretty good,0.31666666666666665,Positive
There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,0,much good food vegas feel cheated wasting eating opportunity going rice company,0.7,Positive
Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,0,coming like experiencing underwhelming relationship parties wait person ask break,0.0,Neutral
walked in and the place smelled like an old grease trap and only 2 others there eating.,0,walked place smelled like old grease trap others eating,0.1,Positive
The turkey and roast beef were bland.,0,turkey roast beef bland,-0.16666666666666666,Negative
This place has it!,1,place,0.0,Neutral
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0,pan cakes everyone raving taste like sugary disaster tailored palate six year old,0.1,Positive
I love the Pho and the spring rolls oh so yummy you have to try.,1,love pho spring rolls oh yummy try,0.5,Positive
The poor batter to meat ratio made the chicken tenders very unsatisfying.,0,poor batter meat ratio made chicken tenders unsatisfying,-0.5,Negative
All I have to say is the food was amazing!!!,1,say food amazing,0.6000000000000001,Positive
Omelets are to die for!,1,omelets die,0.0,Neutral
Everything was fresh and delicious!,1,everything fresh delicious,0.65,Positive
"In summary, this was a largely disappointing dining experience.",0,summary largely disappointing dining experience,-0.6,Negative
"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1,like really sexy party mouth outrageously flirting hottest person party,-0.25,Negative
"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",0,never hard rock casino never ever step forward,0.14583333333333334,Positive
Best breakfast buffet!!!,1,best breakfast buffet,1.0,Positive
say bye bye to your tip lady!,0,say bye bye tip lady,0.0,Neutral
We'll never go again.,0,never go,0.0,Neutral
Will be back again!,1,back,0.0,Neutral
Food arrived quickly!,1,food arrived quickly,0.3333333333333333,Positive
It was not good.,0,not good,-0.35,Negative
"On the up side, their cafe serves really good food.",1,side cafe serves really good food,0.7,Positive
"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",1,server fantastic found wife loves roasted garlic bone marrow added extra meal another marrow go,0.2,Positive
"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1,good thing waiter helpful kept bloddy mary coming,0.7,Positive
"Best Buffet in town, for the price you cannot beat it.",1,best buffet town price cannot beat,1.0,Positive
"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1,loved mussels cooked wine reduction duck tender potato dishes delicious,0.85,Positive
This is one of the better buffets that I have been to.,1,one better buffets,0.5,Positive
So we went to Tigerlilly and had a fantastic afternoon!,1,went tigerlilly fantastic afternoon,0.4,Positive
"The food was delicious, our bartender was attentive and personable AND we got a great deal!",1,food delicious bartender attentive personable got great deal,0.7333333333333334,Positive
The ambience is wonderful and there is music playing.,1,ambience wonderful music playing,1.0,Positive
Will go back next trip out.,1,go back next trip,0.0,Neutral
Sooooo good!!,1,sooooo good,0.7,Positive
"REAL sushi lovers, let's be honest - Yama is not that good.",0,real sushi lovers let honest yama not good,0.15000000000000002,Positive
"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",0,least min passed us ordering food arriving wasn busy,-0.09999999999999999,Negative
This is a really fantastic Thai restaurant which is definitely worth a visit.,1,really fantastic thai restaurant definitely worth visit,0.35,Positive
"Nice, spicy and tender.",1,nice spicy tender,0.6,Positive
Good prices.,1,good prices,0.7,Positive
Check it out.,1,check,0.0,Neutral
It was pretty gross!,0,pretty gross,0.125,Positive
I've had better atmosphere.,0,better atmosphere,0.5,Positive
Kind of hard to mess up a steak but they did.,0,kind hard mess steak,0.04444444444444443,Neutral
"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",0,although much liked look sound place actual experience bit disappointing,0.1,Positive
I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,0,don know place managed served blandest food ever eaten preparing indian cuisine,0.0,Neutral
"Worst service to boot, but that is the least of their worries.",0,worst service boot least worries,-0.65,Negative
Service was fine and the waitress was friendly.,1,service fine waitress friendly,0.39583333333333337,Positive
"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",1,guys steaks steak loving son steak best worst places said best steak ever eaten,0.4,Positive
"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",1,thought venture away get good sushi place really hit spot night,0.44999999999999996,Positive
"Host staff were, for lack of a better word, BITCHES!",0,host staff lack better word bitches,0.5,Positive
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,0,bland not liking place number reasons don want waste time bad reviewing leave,-0.35555555555555546,Negative
"Phenomenal food, service and ambiance.",1,phenomenal food service ambiance,0.5,Positive
I wouldn't return.,0,wouldn return,0.0,Neutral
"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",1,definitely worth venturing strip pork belly return next time vegas,0.15,Positive
This place is way too overpriced for mediocre food.,0,place way overpriced mediocre food,-0.5,Negative
Penne vodka excellent!,1,penne vodka excellent,1.0,Positive
"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",1,good selection food including massive meatloaf sandwich crispy chicken wrap delish tuna melt tasty burgers,0.033333333333333326,Neutral
The management is rude.,0,management rude,-0.3,Negative
"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",1,delicious nyc bagels good selections cream cheese real lox capers even,0.6333333333333333,Positive
"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",1,great subway fact good come every subway not meet expectations,0.75,Positive
I had a seriously solid breakfast here.,1,seriously solid breakfast,0.0,Neutral
This is one of the best bars with food in Vegas.,1,one best bars food vegas,1.0,Positive
"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0,extremely rude really many restaurants would love dine weekend vegas,0.2333333333333333,Positive
My drink was never empty and he made some really great menu suggestions.,1,drink never empty made really great menu suggestions,0.42500000000000004,Positive
Don't do it!!!!,0,don,0.0,Neutral
The waiter wasn't helpful or friendly and rarely checked on us.,0,waiter wasn helpful friendly rarely checked us,0.3375,Positive
My husband and I ate lunch here and were very disappointed with the food and service.,0,husband ate lunch disappointed food service,-0.75,Negative
And the red curry had so much bamboo shoots and wasn't very tasty to me.,0,red curry much bamboo shoots wasn tasty,0.1,Positive
Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,1,nice blanket moz top feel like done cover subpar food,0.55,Positive
The bathrooms are clean and the place itself is well decorated.,1,bathrooms clean place well decorated,0.3666666666666667,Positive
"The menu is always changing, food quality is going down & service is extremely slow.",0,menu always changing food quality going service extremely slow,-0.30000000000000004,Negative
"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0,service little slow considering served people servers food coming slow pace,-0.2625,Negative
I give it 2 thumbs down,0,give thumbs,0.0,Neutral
We watched our waiter pay a lot more attention to other tables and ignore us.,0,watched waiter pay lot attention tables ignore us,0.0,Neutral
My fiancé and I came in the middle of the day and we were greeted and seated right away.,1,fianc came middle day greeted seated right away,0.14285714285714285,Positive
This is a great restaurant at the Mandalay Bay.,1,great restaurant mandalay bay,0.8,Positive
We waited for forty five minutes in vain.,0,waited forty five minutes vain,0.0,Neutral
Crostini that came with the salad was stale.,0,crostini came salad stale,-0.5,Negative
Some highlights : Great quality nigiri here!,1,highlights great quality nigiri,0.8,Positive
the staff is friendly and the joint is always clean.,1,staff friendly joint always clean,0.37083333333333335,Positive
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,1,different cut piece day still wonderful tender well well flavored,0.5,Positive
I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,1,ordered voodoo pasta first time really excellent pasta since going gluten free several years ago,0.4125,Positive
this place is good.,1,place good,0.7,Positive
"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0,unfortunately must hit bakery leftover day everything ordered stale,-0.5,Negative
I came back today since they relocated and still not impressed.,0,came back today since relocated still not impressed,-0.25,Negative
I was seated immediately.,1,seated immediately,0.0,Neutral
"Their menu is diverse, and reasonably priced.",1,menu diverse reasonably priced,0.2,Positive
Avoid at all cost!,0,avoid cost,0.0,Neutral
Restaurant is always full but never a wait.,1,restaurant always full never wait,0.35,Positive
DELICIOUS!!,1,delicious,1.0,Positive
This place is hands-down one of the best places to eat in the Phoenix metro area.,1,place hands one best places eat phoenix metro area,1.0,Positive
So don't go there if you are looking for good food...,0,don go looking good food,0.7,Positive
I've never been treated so bad.,0,never treated bad,-0.6999999999999998,Negative
Bacon is hella salty.,1,bacon hella salty,0.0,Neutral
"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",0,also ordered spinach avocado salad ingredients sad dressing literally zero taste,-0.5,Negative
"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",1,really vegas fine dining used right menus handed ladies no prices listed,0.3007936507936508,Positive
The waitresses are very friendly.,1,waitresses friendly,0.375,Positive
"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",1,lordy khao soi dish not missed curry lovers,0.0,Neutral
Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,1,everything menu terrific also thrilled made amazing accommodations vegetarian daughter,0.4000000000000001,Positive
"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",0,perhaps caught night judging reviews not inspired go back,0.0,Neutral
The service here leaves a lot to be desired.,0,service leaves lot desired,0.0,Neutral
"The atmosphere is modern and hip, while maintaining a touch of coziness.",1,atmosphere modern hip maintaining touch coziness,0.2,Positive
"Not a weekly haunt, but definitely a place to come back to every once in a while.",1,not weekly haunt definitely place come back every,0.0,Neutral
We literally sat there for 20 minutes with no one asking to take our order.,0,literally sat minutes no one asking take order,0.0,Neutral
"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0,burger absolutely no flavor meat totally bland burger overcooked no charcoal flavor,-0.13333333333333333,Negative
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,0,also decided not send back waitress looked like verge heart attack,0.0,Neutral
I dressed up to be treated so rudely!,0,dressed treated rudely,-0.3,Negative
It was probably dirt.,0,probably dirt,0.0,Neutral
"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",1,love place hits spot want something healthy not lacking quantity flavor,0.5,Positive
I ordered the Lemon raspberry ice cocktail which was also incredible.,1,ordered lemon raspberry ice cocktail also incredible,0.9,Positive
"The food sucked, which we expected but it sucked more than we could have imagined.",0,food sucked expected sucked could imagined,-0.1,Negative
Interesting decor.,1,interesting decor,0.5,Positive
What I really like there is the crepe station.,1,really like crepe station,0.2,Positive
"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",1,also served hot bread butter home made potato chips bacon bits top original good,0.45625,Positive
you can watch them preparing the delicious food!),1,watch preparing delicious food,1.0,Positive
Both of the egg rolls were fantastic.,1,egg rolls fantastic,0.4,Positive
"When my order arrived, one of the gyros was missing.",0,order arrived one gyros missing,-0.2,Negative
"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",1,salad wings ice cream dessert left feeling quite satisfied,0.25,Positive
I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,0,not really sure joey voted best hot dog valley readers phoenix magazine,0.3333333333333333,Positive
The best place to go for a tasty bowl of Pho!,1,best place go tasty bowl pho,1.0,Positive
The live music on Fridays totally blows.,0,live music fridays totally blows,0.06818181818181818,Positive
I've never been more insulted or felt disrespected.,0,never insulted felt disrespected,0.0,Neutral
Very friendly staff.,1,friendly staff,0.375,Positive
It is worth the drive.,1,worth drive,0.3,Positive
"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",1,heard good things place exceeding every hope could dreamed,0.7,Positive
Food was great and so was the serivce!,1,food great serivce,0.8,Positive
The warm beer didn't help.,0,warm beer didn help,0.6,Positive
Great brunch spot.,1,great brunch spot,0.8,Positive
Service is friendly and inviting.,1,service friendly inviting,0.375,Positive
Very good lunch spot.,1,good lunch spot,0.7,Positive
I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,0,lived since first last time stepped foot place,0.125,Positive
The WORST EXPERIENCE EVER.,0,worst experience ever,-1.0,Negative
Must have been an off night at this place.,0,must night place,0.0,Neutral
"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",1,sides delish mixed mushrooms yukon gold puree white corn beateous,0.0,Neutral
"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0,bug never showed would given sure side wall bug climbing kitchen,0.5,Positive
"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",0,minutes waiting salad realized wasn coming time soon,0.0,Neutral
My friend loved the salmon tartar.,1,friend loved salmon tartar,0.7,Positive
Won't go back.,0,won go back,0.0,Neutral
Extremely Tasty!,1,extremely tasty,-0.125,Negative
Waitress was good though!,1,waitress good though,0.7,Positive
Soggy and not good.,0,soggy not good,-0.35,Negative
The Jamaican mojitos are delicious.,1,jamaican mojitos delicious,1.0,Positive
Which are small and not worth the price.,0,small not worth price,-0.2,Negative
- the food is rich so order accordingly.,1,food rich order accordingly,0.375,Positive
"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",0,shower area outside rinse not take full shower unless don mind nude everyone see,0.175,Positive
The service was a bit lacking.,0,service bit lacking,0.0,Neutral
"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",0,lobster bisque bussell sprouts risotto filet needed salt pepper course none tables,0.0,Neutral
Hopefully this bodes for them going out of business and someone who can cook can come in.,0,hopefully bodes going business someone cook come,0.0,Neutral
"It was either too cold, not enough flavor or just bad.",0,either cold not enough flavor bad,-0.4333333333333333,Negative
I loved the bacon wrapped dates.,1,loved bacon wrapped dates,0.7,Positive
This is an unbelievable BARGAIN!,1,unbelievable bargain,-0.25,Negative
The folks at Otto always make us feel so welcome and special.,1,folks otto always make us feel welcome special,0.5785714285714286,Positive
"As for the ""mains,"" also uninspired.",0,mains also uninspired,-0.5,Negative
This is the place where I first had pho and it was amazing!!,1,place first pho amazing,0.42500000000000004,Positive
This wonderful experience made this place a must-stop whenever we are in town again.,1,wonderful experience made place must stop whenever town,1.0,Positive
"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",0,food isn bad enough enjoy dealing world worst annoying drunk people,-0.4333333333333333,Negative
Very very fun chef.,1,fun chef,0.3,Positive
"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",0,ordered double cheeseburger got single patty falling apart picture uploaded yeah still sucks,-0.12380952380952381,Negative
Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,1,great place couple drinks watch sporting events walls covered tv,0.8,Positive
"If it were possible to give them zero stars, they'd have it.",0,possible give zero stars,0.0,Neutral
"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",0,descriptions said yum yum sauce another said eel sauce yet another said spicy mayo well none rolls sauces,0.0,Neutral
"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",1,say would hardest decision honestly dishes taste supposed taste amazing,0.6000000000000001,Positive
If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,0,not rolled eyes may stayed not sure go back try,-0.125,Negative
"Everyone is very attentive, providing excellent customer service.",1,everyone attentive providing excellent customer service,0.7,Positive
Horrible - don't waste your time and money.,0,horrible don waste time money,-0.6,Negative
Now this dish was quite flavourful.,1,dish quite flavourful,0.0,Neutral
By this time our side of the restaurant was almost empty so there was no excuse.,0,time side restaurant almost empty no excuse,-0.037500000000000006,Neutral
"(It wasn't busy either) Also, the building was FREEZING cold.",0,wasn busy either also building freezing cold,-0.25,Negative
"like the other reviewer said ""you couldn't pay me to eat at this place again.""",0,like reviewer said couldn pay eat place,0.0,Neutral
-Drinks took close to 30 minutes to come out at one point.,0,drinks took close minutes come one point,0.0,Neutral
"Seriously flavorful delights, folks.",1,seriously flavorful delights folks,-0.3333333333333333,Negative
Much better than the other AYCE sushi place I went to in Vegas.,1,much better ayce sushi place went vegas,0.5,Positive
The lighting is just dark enough to set the mood.,1,lighting dark enough set mood,-0.075,Negative
Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,0,based sub par service received no effort show gratitude business won going back,0.0,Neutral
Owner's are really great people.!,1,owner really great people,0.8,Positive
There is nothing privileged about working/eating there.,0,nothing privileged working eating,0.0,Neutral
The Greek dressing was very creamy and flavorful.,1,greek dressing creamy flavorful,0.0,Neutral
"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",0,overall don think would take parents place made similar complaints silently felt,0.0,Neutral
Now the pizza itself was good the peanut sauce was very tasty.,1,pizza good peanut sauce tasty,0.7,Positive
We had 7 at our table and the service was pretty fast.,1,table service pretty fast,0.225,Positive
Fantastic service here.,1,fantastic service,0.4,Positive
I as well would've given godfathers zero stars if possible.,0,well would given godfathers zero stars possible,0.0,Neutral
They know how to make them here.,1,know make,0.0,Neutral
very tough and very short on flavor!,0,tough short flavor,-0.19444444444444445,Negative
I hope this place sticks around.,1,hope place sticks around,0.0,Neutral
"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",0,bars vegas not ever recall charged tap water,0.0,Neutral
The restaurant atmosphere was exquisite.,1,restaurant atmosphere exquisite,1.0,Positive
"Good service, very clean, and inexpensive, to boot!",1,good service clean inexpensive boot,0.5333333333333333,Positive
The seafood was fresh and generous in portion.,1,seafood fresh generous portion,0.3,Positive
"Plus, it's only 8 bucks.",1,plus bucks,0.0,Neutral
"The service was not up to par, either.",0,service not par either,0.0,Neutral
"Thus far, have only visited twice and the food was absolutely delicious each time.",1,thus far visited twice food absolutely delicious time,0.55,Positive
Just as good as when I had it more than a year ago!,1,good year ago,0.7,Positive
"For a self proclaimed coffee cafe, I was wildly disappointed.",0,self proclaimed coffee cafe wildly disappointed,-0.75,Negative
The Veggitarian platter is out of this world!,1,veggitarian platter world,0.0,Neutral
You cant go wrong with any of the food here.,1,cant go wrong food,-0.5,Negative
You can't beat that.,1,beat,0.0,Neutral
"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",1,stopped place madison ironman friendly kind staff,0.4875,Positive
The chefs were friendly and did a good job.,1,chefs friendly good job,0.5375,Positive
"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",0,better not dedicated boba tea spots even jenni pho,0.5,Positive
I liked the patio and the service was outstanding.,1,liked patio service outstanding,0.55,Positive
The goat taco didn't skimp on the meat and wow what FLAVOR!,1,goat taco didn skimp meat wow flavor,0.1,Positive
I think not again,0,think not,0.0,Neutral
I had the mac salad and it was pretty bland so I will not be getting that again.,0,mac salad pretty bland not getting,0.04166666666666667,Neutral
I went to Bachi Burger on a friend's recommendation and was not disappointed.,1,went bachi burger friend recommendation not disappointed,0.375,Positive
Service stinks here!,0,service stinks,-0.6,Negative
I waited and waited.,0,waited waited,0.0,Neutral
"This place is not quality sushi, it is not a quality restaurant.",0,place not quality sushi not quality restaurant,0.0,Neutral
I would definitely recommend the wings as well as the pizza.,1,would definitely recommend wings well pizza,0.0,Neutral
Great Pizza and Salads!,1,great pizza salads,0.8,Positive
Things that went wrong: - They burned the saganaki.,0,things went wrong burned saganaki,-0.5,Negative
We waited an hour for what was a breakfast I could have done 100 times better at home.,0,waited hour breakfast could done times better home,0.5,Positive
This place is amazing!,1,place amazing,0.6000000000000001,Positive
"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",0,hate disagree fellow yelpers husband disappointed place,-0.775,Negative
Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,0,waited hours never got either pizzas many around us came later,0.25,Positive
Just don't know why they were so slow.,0,don know slow,-0.30000000000000004,Negative
"The staff is great, the food is delish, and they have an incredible beer selection.",1,staff great food delish incredible beer selection,0.8500000000000001,Positive
"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",0,live neighborhood disappointed won back convenient location,-0.20454545454545456,Negative
I didn't know pulled pork could be soooo delicious.,1,didn know pulled pork could soooo delicious,1.0,Positive
"You get incredibly fresh fish, prepared with care.",1,get incredibly fresh fish prepared care,0.3,Positive
Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,0,go gave star rating please know third time eating bachi burger writing review,0.0,Neutral
I love the fact that everything on their menu is worth it.,1,love fact everything menu worth,0.4,Positive
Never again will I be dining at this place!,0,never dining place,0.0,Neutral
The food was excellent and service was very good.,1,food excellent service good,0.85,Positive
Good beer & drink selection and good food selection.,1,good beer drink selection good food selection,0.7,Positive
Please stay away from the shrimp stir fried noodles.,0,please stay away shrimp stir fried noodles,0.0,Neutral
